id,name_en,poverty,name_sr,arr_dom,arr_int,pop,male,female,net ,gross,Province
1,Arandjelovac,23.3,Aranđelovac,4042,958,39456,19166,20290,72348,100112,Šumadijski
2,Batocina,36.1,Batočina,11,0,10085,4995,5090,63243,87450,Šumadijski
3,Knic,40.1,Knić,753,55,12533,6312,6221,65463,90342,Šumadijski
4,Kragujevac,23.8,Kragujevac,2244,2417,154290,74515,79775,79415,110065,Šumadijski
5,Lapovo,23.9,Lapovo,39,36,6785,3294,3491,65350,90509,Šumadijski
6,Raca,34.9,Rača,4,0,10053,5017,5036,64951,89714,Šumadijski
7,Topola,37.6,Topola,171,81,19346,9594,9752,66857,92304,Šumadijski
8,Bor,23.1,Bor,1092,286,41889,20431,21458,96421,134205,Borski
9,Kladovo,19.8,Kladovo,1734,1655,18277,8841,9436,74605,103377,Borski
10,Majdanpek,37.2,Majdanpek,2759,392,16316,8085,8231,86766,120550,Borski
11,Negotin,28.5,Negotin,628,271,32779,15647,17132,70276,97443,Borski
12,Zabari,36.2,Žabari,0,0,9981,4826,5155,62888,86940,Braničevski
13,Zagubica,40.3,Žagubica,36,0,11179,5443,5736,67750,93800,Braničevski
14,Golubac,28.5,Golubac,870,874,7281,3546,3735,61576,85233,Braničevski
15,Kucevo,33.5,Kučevo,21,0,13633,6601,7032,67647,93843,Braničevski
16,Malo Crnice,29.6,Malo Crniće,4,36,9961,4847,5114,62932,86915,Braničevski
17,Petrovac,27.8,Petrovac,1353,214,27284,13149,14135,61797,85375,Braničevski
18,Pozarevac,16.9,Požarevac,653,433,52726,24979,27747,78627,109153,Braničevski
19,Veliko Gradiste,22,Veliko Gradište,5163,2023,15281,7313,7968,63925,88696,Braničevski
20,Cukarica,8.3,Čukarica,360,2253,154854,72352,82502,101798,140707,Grad Beograd
21,Barajevo,21.9,Barajevo,100,252,23144,11455,11689,72008,99748,Grad Beograd
22,Grocka,18.2,Grocka,151,1946,70731,34871,35860,74576,103162,Grad Beograd
23,Lazarevac,13.4,Lazarevac,99,28,49812,24206,25606,89331,124313,Grad Beograd
24,Mladenovac,24,Mladenovac,583,117,45556,22145,23411,70611,97729,Grad Beograd
25,Novi Beograd,4.8,Novi Beograd,2342,18955,186667,85206,101461,140411,191910,Grad Beograd
26,Obrenovac,20.1,Obrenovac,63,40,61626,30249,31377,80855,112143,Grad Beograd
27,Palilula,25.4,Palilula,1029,10970,148292,69276,79016,96353,133219,Grad Beograd
28,Rakovica,6.9,Rakovica,701,3872,93014,43235,49779,95845,132666,Grad Beograd
29,Savski Venac,5.7,Savski Venac,1475,20246,34518,15546,18972,141102,191580,Grad Beograd
30,Sopot,26.9,Sopot,119,92,17590,8647,8943,70482,97587,Grad Beograd
31,Stari Grad,5.4,Stari Grad,2342,32931,43383,19007,24376,153989,208895,Grad Beograd
32,Surcin,15.9,Surčin,513,3017,36800,18297,18503,77543,107365,Grad Beograd
33,Vozdovac,8.6,Voždovac,1350,6926,137315,63278,74037,112224,154735,Grad Beograd
34,Vracar,5.3,Vračar,1269,10178,50010,21764,28246,149739,203437,Grad Beograd
35,Zemun,11,Zemun,1081,8802,143173,67202,75971,100100,138265,Grad Beograd
36,Zvezdara,8.3,Zvezdara,272,1587,130225,59579,70646,110672,152719,Grad Beograd
37,Bojnik,63.4,Bojnik,8,0,9296,4659,4637,55890,76983,Jablanički
38,Crna Trava,53.6,Crna Trava,0,0,1561,794,767,60229,83282,Jablanički
39,Lebane,54.6,Lebane,31,2,18716,9378,9338,59493,82149,Jablanički
40,Leskovac,42.7,Leskovac,1744,3635,123201,60809,62392,63683,87959,Jablanički
41,Medvedja,52.4,Medveđa,2135,25,6359,3284,3075,69912,96832,Jablanički
42,Vlasotince,43.8,Vlasotince,4,13,25570,12778,12792,57162,78719,Jablanički
43,Zabalj,34.3,Žabalj,37,6,21669,10786,10883,67911,93869,Južno-Bački
44,Backa Palanka,23.4,Bačka Palanka,174,314,47572,22955,24617,71820,99484,Južno-Bački
45,Backi Petrovac,19.7,Bački Petrovac,21,108,11477,5622,5855,69013,95348,Južno-Bački
46,Bac,38.6,Bač,45,85,12421,6111,6310,63593,87822,Južno-Bački
47,Becej,36.8,Bečej,247,280,31572,15383,16189,71320,98649,Južno-Bački
48,Beocin,33.7,Beočin,141,32,13249,6543,6706,71391,98786,Južno-Bački
49,Novi Sad,15.7,Novi Sad,4780,17812,341625,161701,179924,99007,136771,Južno-Bački
50,Srbobran,35,Srbobran,18,0,13786,6706,7080,64514,89109,Južno-Bački
51,Sremski Karlovci,15.8,Sremski Karlovci,339,364,7543,3625,3918,78852,108922,Južno-Bački
52,Temerin,15.1,Temerin,74,78,23923,11629,12294,71461,98947,Južno-Bački
53,Titel,40.4,Titel,38,10,13361,6690,6671,66797,92496,Južno-Bački
54,Vrbas,26.1,Vrbas,238,179,35590,17073,18517,71690,98923,Južno-Bački
55,Alibunar,35.9,Alibunar,30,9,17341,8525,8816,69181,95644,Južno-Banatski
56,Bela Crkva,45.4,Bela Crkva,1511,184,14776,7195,7581,66156,91591,Južno-Banatski
57,Kovacica,35.6,Kovačica,21,16,21359,10613,10746,66686,92362,Južno-Banatski
58,Kovin,31.6,Kovin,118,251,28739,14316,14423,70611,97888,Južno-Banatski
59,Opovo,35.4,Opovo,49,28,8837,4398,4439,70093,96954,Južno-Banatski
60,Pancevo,21.4,Pančevo,455,1508,105892,51070,54822,85400,118366,Južno-Banatski
61,Plandiste,36.8,Plandište,21,1,9921,4980,4941,68527,94713,Južno-Banatski
62,Vrsac,26.1,Vršac,933,723,44337,21075,23262,79411,109954,Južno-Banatski
63,Lajkovac,28.1,Lajkovac,2,8,13202,6558,6644,83175,115652,Kolubarski
64,Ljig,32.4,Ljig,252,27,11054,5437,5617,70649,97909,Kolubarski
65,Mionica,39.7,Mionica,3629,83,12313,6184,6129,65852,91087,Kolubarski
66,Osecina,48.3,Osečina,208,60,11022,5653,5369,65760,90580,Kolubarski
67,Ub,37.7,Ub,329,173,24798,12465,12333,71672,99341,Kolubarski
68,Valjevo,24.5,Valjevo,4613,862,78674,38129,40545,74349,103113,Kolubarski
69,Sabac,32.3,Šabac,1005,946,99082,47923,51159,73721,102048,Mačvanski
70,Bogatic,42.3,Bogatić,92,37,24677,12379,12298,64236,88797,Mačvanski
71,Koceljeva,47.5,Koceljeva,279,28,11278,5721,5557,62762,86640,Mačvanski
72,Krupanj,49.4,Krupanj,565,66,14946,7556,7390,62907,86910,Mačvanski
73,Ljubovija,42.7,Ljubovija,604,71,12460,6269,6191,68731,95206,Mačvanski
74,Loznica,38.2,Loznica,4209,1195,67543,33047,34496,68739,95156,Mačvanski
75,Mali Zvornik,37.3,Mali Zvornik,263,55,10728,5326,5402,66656,92190,Mačvanski
76,Vladimirci,49.6,Vladimirci,35,0,15129,7689,7440,63872,88146,Mačvanski
77,Cacak,24.3,Čačak,4417,2782,99132,47590,51542,72913,100839,Moravički
78,Gornji Milanovac,24,Gornji Milanovac,1155,154,38654,18870,19784,73387,101658,Moravički
79,Ivanjica,35.9,Ivanjica,1624,405,27565,13813,13752,62631,86511,Moravički
80,Lucani,34.6,Lučani,49,4,18387,9151,9236,84301,117374,Moravički
81,Aleksinac,40.9,Aleksinac,186,2093,44892,22180,22712,66805,92395,Nišavski
82,Doljevac,51.7,Doljevac,0,0,15742,8044,7698,63212,87019,Nišavski
83,Gadzin Han,51,Gadžin Han,2,0,7647,3914,3733,61035,83619,Nišavski
84,Merosina,47.7,Merošina,20,6,11989,6183,5806,61450,84829,Nišavski
85,Nis,19.4,Niš,720,286,12800,6469,6331,65531,90379,Nišavski
86,Razanj,38.2,Ražanj,1,0,8076,3973,4103,60043,82940,Nišavski
87,Svrljig,40.2,Svrljig,71,4,12842,6431,6411,57493,79225,Nišavski
88,Bosilegrad,51.6,Bosilegrad,138,109,7117,3637,3480,62358,86481,Pčinjski
89,Bujanovac,54.6,Bujanovac,405,190,14496,7373,7123,60804,83876,Pčinjski
90,Presevo,63.6,Preševo,11,25,2539,1310,1229,57545,79732,Pčinjski
91,Surdulica,46.7,Surdulica,570,104,17177,8454,8723,65905,91203,Pčinjski
92,Trgoviste,56.5,Trgovište,2,1,4409,2363,2046,59891,82815,Pčinjski
93,Vladicin Han,52.4,Vladičin Han,64,83,17859,8889,8970,66858,92477,Pčinjski
94,Vranje,31.1,Vranje,1887,2546,62251,30920,31331,66558,92001,Pčinjski
95,Babusnica,50.4,Babušnica,1,0,11091,5622,5469,63092,87184,Pirotski
96,Bela Palanka,44.5,Bela Palanka,35,75,10653,5503,5150,62202,85737,Pirotski
97,Dimitrovgrad,33.8,Dimitrovgrad,222,522,8977,4583,4394,61147,84410,Pirotski
98,Pirot,28.5,Pirot,1515,1281,50661,25363,25298,75404,104544,Pirotski
99,Smederevo,26.8,Smederevo,275,595,91562,44884,46678,75893,105149,Podunavski
100,Smederevska Palanka,29,Smederevska Palanka,31,55,43202,21094,22108,69603,96228,Podunavski
101,Velika Plana,31.5,Velika Plana,387,1428,35093,17157,17936,68782,95014,Podunavski
102,Ćuprija,24.9,Ćuprija,143,454,26679,12817,13862,68107,94271,Pomoravski
103,Despotovac,27.7,Despotovac,501,43,20322,9914,10408,65455,90692,Pomoravski
104,Jagodina,31.7,Jagodina,625,1071,61511,29430,32081,68054,94002,Pomoravski
105,Paracin,29.2,Paraćin,510,1841,46673,22588,24085,66714,91974,Pomoravski
106,Rekovac,47.4,Rekovac,3,3,9930,4849,5081,62388,86314,Pomoravski
107,Svilajnac,26.7,Svilajnac,112,292,20441,9663,10778,64725,89515,Pomoravski
108,Kraljevo,28.3,Kraljevo,3331,885,106732,51818,54914,70338,97370,Raški
109,Novi Pazar,49.4,Novi Pazar,983,1436,75610,37199,38411,62044,85821,Raški
110,Raska,37.7,Raška,7591,1180,21191,10577,10614,64142,88628,Raški
111,Tutin,66.1,Tutin,80,86,22960,11848,11112,61363,84776,Raški
112,Vrnjacka Banja,26.8,Vrnjačka Banja,17686,3962,23705,11332,12373,63282,87507,Raški
113,Ćicevac,30.3,Ćićevac,17,107,8216,3985,4231,62780,86694,Rasinski
114,Aleksandrovac,35.3,Aleksandrovac,122,7,23000,11516,11484,60726,83823,Rasinski
115,Brus,39.2,Brus,2860,316,14296,7290,7006,63379,87344,Rasinski
116,Krusevac,29,Kruševac,2934,468,110346,53343,57003,75691,104749,Rasinski
117,Trstenik,33.6,Trstenik,122,25,37712,18345,19367,63902,88186,Rasinski
118,Varvarin,38.3,Varvarin,17,17,15557,7615,7942,62705,86729,Rasinski
119,Backa Topola,30.9,Bačka Topola,460,372,28923,14002,14921,70845,97677,Severno-Bački
120,Mali Idjos,35.1,Mali Iđoš,177,66,10158,4950,5208,63934,88286,Severno-Bački
121,Subotica,23.5,Subotica,5288,11092,121250,57653,63597,75512,104433,Severno-Bački
122,Ada,26.2,Ada,256,252,14656,7030,7626,68152,94358,Severno-Banatski
123,Coka,39.8,Čoka,59,3,9890,4890,5000,65621,90626,Severno-Banatski
124,Kanjiza,30.3,Kanjiža,516,421,21761,10598,11163,66366,91976,Severno-Banatski
125,Kikinda,26,Kikinda,1084,230,51257,24903,26354,72779,100815,Severno-Banatski
126,Novi Knezevac,36.2,Novi Kneževac,25,23,9667,4740,4927,69206,95813,Severno-Banatski
127,Senta,25.6,Senta,552,445,20041,9636,10405,72300,100105,Severno-Banatski
128,Zitiste,40.9,Žitište,42,37,14559,7150,7409,69285,95939,Srednje-Banatski
129,Becej,36,Bečej,229,26,20441,9941,10500,65747,90890,Srednje-Banatski
130,Nova Crnja,49.1,Nova Crnja,0,0,8827,4375,4452,68012,94162,Srednje-Banatski
131,Secanj,42.5,Sečanj,68,8,11527,5738,5789,69597,96380,Srednje-Banatski
132,Zrenjanin,23,Zrenjanin,964,996,105917,50792,55125,78114,108253,Srednje-Banatski
133,Sid,36.8,Šid,153,115,29551,14404,15147,71443,98991,Sremski
134,Indjija,23.1,Inđija,118,353,40971,20061,20910,81640,113344,Sremski
135,Irig,36,Irig,6999,2947,9499,4635,4864,70501,97133,Sremski
136,Pecinci,32.2,Pećinci,42,66,16786,8449,8337,77585,107517,Sremski
137,Ruma,27.9,Ruma,671,567,47119,22937,24182,74487,103307,Sremski
138,Sremska Mitrovica,29.4,Sremska Mitrovica,536,683,68661,33264,35397,76287,105690,Sremski
139,Stara Pazova,19.6,Stara Pazova,497,1564,56109,27367,28742,78402,108656,Sremski
140,Zitoradja,50.2,Žitorađa,0,0,13883,7085,6798,62585,86403,Toplički
141,Blace,38.9,Blace,26,0,10317,5132,5185,58991,81390,Toplički
142,Kursumlija,40.8,Kuršumlija,3864,392,16425,8363,8062,65400,90484,Toplički
143,Prokuplje,36.8,Prokuplje,202,304,37729,18560,19169,68050,94180,Toplički
144,Boljevac,38.2,Boljevac,1709,321,11437,5541,5896,73807,102517,Zaječarski
145,Knjazevac,33.1,Knjaževac,1200,385,28176,13661,14515,62347,86070,Zaječarski
146,Sokobanja,27.4,Sokobanja,23644,924,14186,6774,7412,64949,90039,Zaječarski
147,Zajecar,26.5,Zaječar,686,556,52383,25321,27062,73252,101573,Zaječarski
148,Apatin,33.5,Apatin,1305,249,25086,12175,12911,67650,93773,Zapadno-Bački
149,Kula,26.1,Kula,32,65,36957,17923,19034,68731,95260,Zapadno-Bački
150,Odzaci,37.1,Odžaci,27,17,26382,12932,13450,66850,92617,Zapadno-Bački
151,Sombor,27.5,Sombor,809,1136,74780,35852,38928,71321,98780,Zapadno-Bački
152,Cajetina,26.5,Čajetina,23220,11562,12843,6312,6531,66937,92776,Zlatiborski
153,Arilje,29.4,Arilje,179,66,16001,7899,8102,62669,86550,Zlatiborski
154,Bajina Basta,34.7,Bajina Bašta,8114,1042,22474,11122,11352,63195,87554,Zlatiborski
155,Kosjeric,32.8,Kosjerić,192,13,10568,5214,5354,69081,95941,Zlatiborski
156,Nova Varos,40,Nova Varoš,3266,474,14598,7249,7349,64789,89714,Zlatiborski
157,Pozega,25.2,Požega,430,863,25762,12482,13280,72554,100388,Zlatiborski
158,Priboj,38.7,Priboj,768,401,23584,11631,11953,66857,92489,Zlatiborski
159,Prijepolje,42.9,Prijepolje,312,136,30989,15361,15628,62660,86701,Zlatiborski
160,Sjenica,46.6,Sjenica,591,649,20817,10592,10225,65601,91015,Zlatiborski
161,Uzice,17.9,Užice,2248,2721,67503,32558,34945,79707,110736,Zlatiborski
,,,Kostolac,83,6,11034,5403,5631,88421,123254,Braničevski
,,,Crveni Krst,278,2266,27504,13746,13758,69438,95954,Grad Beograd
,,,Petrovaradin,,,28986,14085,14901,,,Južno-Bački
,,,Medijana,1905,5190,75090,34846,40244,93715,129992,Nišavski
,,,Palilula (Niš),999,4908,62928,30708,32220,74909,103479,Nišavski
,,,Pantelej,397,962,45719,22253,23466,77229,106765,Nišavski
,,,Vranjska Banja,354,36,8147,4102,4045,59840,82686,Pčinjski
,,,Sevojno,3,0,,,,73613,102716,Zlatiborski
